"sc-gMacIw","sc-gMacIw 2","sc-gMacIw 3","sc-gMacIw 4","sc-gMacIw 5","sc-gMacIw 6"
"Chad","TCD","Enrolment in lower secondary education, both sexes (number)","UIS.E.2","306639","2010"
"Chad","TCD","Enrolment in lower secondary education, both sexes (number)","UIS.E.2","170052","2004"
"Chad","TCD","Enrolment in upper secondary education, both sexes (number)","UIS.E.3","123744","2010"
"Chad","TCD","Enrolment in upper secondary education, both sexes (number)","UIS.E.3","57804","2004"
"Chad","TCD","Enrolment in upper secondary education, both sexes (number)","UIS.E.3","101428","2008"
"Chad","TCD","Enrolment in post-secondary non-tertiary education, both sexes (number)","UIS.E.4","3384","2011"
"Chad","TCD","Enrolment in post-secondary non-tertiary education, both sexes (number)","UIS.E.4","3551","2010"
"Chad","TCD","Repeaters in primary education, all grades, both sexes (number)","UIS.R.1","194458","1996"
"Chad","TCD","Repeaters in primary education, all grades, both sexes (number)","UIS.R.1","135635","1988"
"Chad","TCD","Repeaters in primary education, all grades, both sexes (number)","UIS.R.1","139546","1989"
"Chad","TCD","Repeaters in primary education, all grades, both sexes (number)","UIS.R.1","283462","2005"
"Chad","TCD","Repeaters in primary education, all grades, both sexes (number)","UIS.R.1","218004","1997"
"Chad","TCD","Repeaters in primary education, all grades, both sexes (number)","UIS.R.1","241199","1998"
"Chad","TCD","Teachers in upper secondary education, both sexes (number)","UIS.T.3","6079","2010"
"Chad","TCD","Teachers in upper secondary education, both sexes (number)","UIS.T.3","1349","1999"
"Chad","TCD","Teachers in post-secondary non-tertiary education, both sexes (number)","UIS.T.4","322","2011"
"Chad","TCD","Teachers in post-secondary non-tertiary education, both sexes (number)","UIS.T.4","281","2010"
"Chad","TCD","Enrolment in early childhood education, female (number)","UIS.E.0.F","10375","2011"
"Chad","TCD","Enrolment in early childhood education, female (number)","UIS.E.0.F","5120","2013"
"Chad","TCD","Enrolment in early childhood education, both sexes (number)","UIS.E.0.T","19099","2012"
"Chad","TCD","Enrolment in lower secondary vocational, both sexes (number)","UIS.E.2.V","855","2012"
"Chad","TCD","Enrolment in upper secondary education, female (number)","UIS.E.3.F","5334","1999"
"Chad","TCD","Enrolment in upper secondary education, female (number)","UIS.E.3.F","13622","2005"
"Chad","TCD","Enrolment in upper secondary education, female (number)","UIS.E.3.F","36405","2011"
"Chad","TCD","Enrolment in upper secondary education, female (number)","UIS.E.3.F","12038","2004"
"Chad","TCD","Enrolment in upper secondary education, female (number)","UIS.E.3.F","10841","2002"
"Chad","TCD","Enrolment in upper secondary vocational, both sexes (number)","UIS.E.3.V","3521","2008"
"Chad","TCD","Enrolment in upper secondary vocational, both sexes (number)","UIS.E.3.V","2961","2005"
"Chad","TCD","Enrolment in upper secondary vocational, both sexes (number)","UIS.E.3.V","3281","2002"
"Chad","TCD","Percentage of students in early childhood education who are female (%)","UIS.FEP.0","46.85212","2013"
"Chad","TCD","Percentage of students in early childhood education who are female (%)","UIS.FEP.0","47.98157","2012"
"Chad","TCD","Percentage of students in lower secondary education who are female (%)","UIS.FEP.2","30.698759079","2009"
"Chad","TCD","Percentage of students in lower secondary education who are female (%)","UIS.FEP.2","21.749570847","1999"
"Chad","TCD","Percentage of students in upper secondary education who are female (%)","UIS.FEP.3","21.718050003","2002"
"Chad","TCD","Percentage of students in upper secondary education who are female (%)","UIS.FEP.3","17.420080185","1998"
"Chad","TCD","Percentage of students in upper secondary education who are female (%)","UIS.FEP.3","21.517370224","2005"
"Chad","TCD","Percentage of students in upper secondary education who are female (%)","UIS.FEP.3","22.09885025","2006"
"Chad","TCD","Percentage of students in upper secondary education who are female (%)","UIS.FEP.3","19.807899475","2000"
"Chad","TCD","New entrants to Grade 1 of primary education, percentage female (%)","UIS.FNP.1","44.223781586","2013"
"Chad","TCD","New entrants to Grade 1 of primary education, percentage female (%)","UIS.FNP.1","35.429031372","1989"
"Chad","TCD","New entrants to Grade 1 of primary education, percentage female (%)","UIS.FNP.1","33.509860992","1988"
"Chad","TCD","New entrants to Grade 1 of primary education, percentage female (%)","UIS.FNP.1","42.668941498","2009"
"Chad","TCD","Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)","UIS.GER.4","1.417309999","2011"
"Chad","TCD","Gross graduation ratio from lower secondary education, both sexes (%)","UIS.GGR.2","15.532090187","2010"
"Chad","TCD","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","14.368769646","2011"
"Chad","TCD","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","15.460309982","2012"
"Chad","TCD","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","18.134929657","2012"
"Chad","TCD","Repeaters in primary education, all grades, female (number)","UIS.R.1.F","98850","2001"
"Chad","TCD","Repeaters in primary education, all grades, female (number)","UIS.R.1.F","51736","1990"
"Chad","TCD","Repeaters in primary education, all grades, female (number)","UIS.R.1.F","118746","2006"
"Chad","TCD","School life expectancy, post-secondary non-tertiary, both sexes (years)","UIS.SLE.4","0.01549","2010"
"Chad","TCD","Teachers in lower secondary education, female (number)","UIS.T.2.F","492","2011"
"Chad","TCD","Teachers in upper secondary education, female (number)","UIS.T.3.F","544","2012"
"Chad","TCD","Teachers in upper secondary education, female (number)","UIS.T.3.F","82","1999"
"Chad","TCD","Enrolment in Grade 1 of primary education, both sexes (number)","UIS.E.1.G1","163873","1991"
"Chad","TCD","Enrolment in Grade 1 of primary education, both sexes (number)","UIS.E.1.G1","398210","2006"
